Tanggal Transaksi,Nama Resto,Tipe Pesanan,Nomor Pesanan,Rating untuk Resto,Review,Nama Menu,Tag yang Dipilih
"Oct 10 2025, 18:34","Ayam Guling Enakko, Pemogan",Gofood Delivery,F-3000410847,5,"Makasih kak, solusi bagi kita yang lagi tidak masak😆","Paket Duo Original dan Western, Nasi Kebuli","CANNED_RESPONSE_FRESHNESS, CANNED_RESPONSE_TASTE, CANNED_RESPONSE_PORTION, CANNED_RESPONSE_HYGIENE, CANNED_RESPONSE_PACKAGING, CANNED_RESPONSE_VALUE, CANNED_RESPONSE_CUTLERY"
"Oct 10 2025, 18:22","Ayam Guling Enakko, Denpasar",Gofood Delivery,F-3000392555,5,,1 Ekor Ayam Original,
"Oct 10 2025, 17:57","Ayam Guling Enakko Dalung Permai, Jalan Perum Dalung Permai",Gofood Delivery,F-3000358536,5,,"Cheese Sauce, Paket Berkah 1 Putih, 1/4 Ekor Ayam Western",
"Oct 10 2025, 17:53","Ayam Guling Enakko, Pemogan",Gofood Delivery,F-3000354389,5,,"1/2 Ekor Ayam Western, 1/2 Ekor Ayam Original",
"Oct 10 2025, 17:22","Ayam Guling Enakko, Denpasar",Gofood Delivery,F-3000316542,5,,"Paket Mabar 1 Putih, Paket Mabar 1 Mandhi",
"Oct 10 2025, 16:29","Ayam Guling Enakko, Ahmad Yani",Gofood Delivery,F-3000262984,5,,"1 Ekor Ayam Western, Onion Mayo Sauce, Cheese Sauce",
"Oct 10 2025, 16:12","Ayam Guling Enakko, Tangkuban Perahu",Gofood Delivery,F-3000247355,5,,"1 Ekor Ayam Original, Cheese Sauce, Nasi Kebuli",
"Oct 10 2025, 15:47","Ayam Guling Enakko, Mengwi",Gofood Delivery,F-3000225806,5,,Paket Berkah 2 Kebuli,
"Oct 10 2025, 14:21","Ayam Guling Enakko, Pulau Kawe",Gofood Delivery,F-3000154087,5,,"Nasi Putih, 1/4 Ekor Ayam Original",
"Oct 10 2025, 10:30","Ayam Guling Enakko Dalung Permai, Jalan Perum Dalung Permai",Gofood Delivery,F-2999883815,5,,1/2 Ekor Ayam Western,
"Oct 10 2025, 10:23","Ayam Guling Enakko, Denpasar",Gofood Delivery,F-2999875934,5,,"Cheese Sauce, Onion Mayo Sauce, 1/4 Ekor Ayam Original, 1/2 Ekor Ayam Western",
"Oct 10 2025, 09:41","Ayam Guling Enakko Dalung Permai, Jalan Perum Dalung Permai",Gofood Delivery,F-2999838742,5,,"Hot Cheese Sauce, 1 Ekor Ayam Western, Sambel Korek",
"Oct 10 2025, 09:05","Ayam Guling Enakko, Mengwi",Gofood Delivery,F-2999814615,5,,"Blackpaper Sauce, 1 Ekor Ayam Western, Nasi Kebuli",
"Oct 9 2025, 20:31","Ayam Guling Enakko, Ahmad Yani",Gofood Delivery,F-2999622914,5,,"1/4 Ekor Ayam Original, Squash Lychee",CANNED_RESPONSE_TASTE
"Oct 9 2025, 20:06","Ayam Guling Enakko Dalung Permai, Jalan Perum Dalung Permai",Gofood Delivery,F-2999597590,5,,1/2 Ekor Ayam Original,
"Oct 9 2025, 19:32","Ayam Guling Enakko, Tangkuban Perahu",Gofood Delivery,F-2999556512,5,terima kasih..✨️,"1/2 Ekor Ayam Original, Nasi Putih, Sambel Dower","CANNED_RESPONSE_TASTE, CANNED_RESPONSE_HYGIENE, CANNED_RESPONSE_PACKAGING, CANNED_RESPONSE_FRESHNESS"
"Oct 9 2025, 17:44","Ayam Guling Enakko, Tangkuban Perahu",Gofood Delivery,F-2999405581,5,,Paket Berkah 1 Putih,
"Oct 9 2025, 17:31","Ayam Guling Enakko, Tangkuban Perahu",Gofood Delivery,F-2999389358,5,,1 Ekor Ayam Western,
"Oct 9 2025, 16:49","Ayam Guling Enakko, Denpasar",Gofood Delivery,F-2999343083,5,,Paket Berkah 2 Kebuli,
"Oct 9 2025, 15:42","Ayam Guling Enakko, Denpasar",Gofood Delivery,F-2999282871,5,,"1/2 Ekor Ayam Original, Nasi Kebuli",
"Oct 9 2025, 15:18","Ayam Guling Enakko Dalung Permai, Jalan Perum Dalung Permai",Gofood Delivery,F-2999263405,5,,Paket Berkah 2 Kebuli,
"Oct 9 2025, 14:39","Ayam Guling Enakko Dalung Permai, Jalan Perum Dalung Permai",Gofood Delivery,F-2999232252,5,,1 Ekor Ayam Original,
"Oct 9 2025, 14:06","Ayam Guling Enakko, Mengwi",Gofood Delivery,F-2999204882,5,,"Onion Mayo Sauce, 1 Ekor Ayam Western, Nasi Putih, Squash Lychee, Air Mineral",
"Oct 9 2025, 12:43","Ayam Guling Enakko, Denpasar",Gofood Delivery,F-2999127303,5,,Paket Berkah 2 Kebuli,
"Oct 9 2025, 12:42","Ayam Guling Enakko Dalung Permai, Jalan Perum Dalung Permai",Gofood Delivery,F-2999125783,5,,"Nasi Kebuli, Paket Mabar 1 Mandhi, 1 Ekor Ayam Original",
"Oct 9 2025, 11:26","Ayam Guling Enakko, Mengwi",Gofood Delivery,F-2999032878,5,,Paket Mabar 1 Kebuli,
"Oct 9 2025, 10:55","Ayam Guling Enakko, Pemogan",Gofood Delivery,F-2998994167,5,,1 Ekor Ayam Western,
"Oct 9 2025, 10:38","Ayam Guling Enakko Dalung Permai, Jalan Perum Dalung Permai",Gofood Delivery,F-2998975270,5,,1 Ekor Ayam Western,
"Oct 9 2025, 10:18","Ayam Guling Enakko Dalung Permai, Jalan Perum Dalung Permai",Gofood Delivery,F-2998956047,5,,"Nasi Kebuli, 1/4 Ekor Ayam Original",
"Oct 9 2025, 09:05","Ayam Guling Enakko, Dalung",Gofood Delivery,F-2998907163,4,,1 Ekor Ayam Western,
"Oct 9 2025, 09:00","Ayam Guling Enakko, Dalung",Gofood Delivery,F-2998904505,5,,"Paket Mabar 1 Mandhi, BBQ Sauce, Hot Cheese Sauce, Paket Mabar 1 Kebuli",
"Oct 8 2025, 23:52","Ayam Guling Enakko, Pulau Kawe",Gofood Delivery,F-2998816767,5,,1 Ekor Ayam Western,
"Oct 8 2025, 18:54","Ayam Guling Enakko Dalung Permai, Jalan Perum Dalung Permai",Gofood Delivery,F-2998599729,5,,Paket Berkah 2 Kebuli,
"Oct 8 2025, 18:51","Ayam Guling Enakko Dalung Permai, Jalan Perum Dalung Permai",Gofood Delivery,F-2998594681,5,,1 Ekor Ayam Western,
"Oct 8 2025, 18:10","Ayam Guling Enakko, Pemogan",Gofood Delivery,F-2998533771,5,,"1 Ekor Ayam Western, Sambel Ijo, Sambel Dower, Nasi Kebuli","CANNED_RESPONSE_FRESHNESS, CANNED_RESPONSE_PACKAGING, CANNED_RESPONSE_HYGIENE, CANNED_RESPONSE_VALUE, CANNED_RESPONSE_CUTLERY"
"Oct 8 2025, 18:01","Ayam Guling Enakko, Ahmad Yani",Gofood Delivery,F-2998522114,5,,"1 Ekor Ayam Western, Reguler Burger, Sambel Ijo",
"Oct 8 2025, 17:43","Ayam Guling Enakko, Mengwi",Gofood Delivery,F-2998498128,4,,Paket Berkah 2 Kebuli,
"Oct 8 2025, 17:43","Ayam Guling Enakko, Tangkuban Perahu",Gofood Delivery,F-2998497866,5,,Paket Mabar 2 Kebuli,
"Oct 8 2025, 16:17","Ayam Guling Enakko Dalung Permai, Jalan Perum Dalung Permai",Gofood Delivery,F-2998405636,5,,Paket Mabar 1 Mandhi,CANNED_RESPONSE_TASTE
"Oct 8 2025, 16:11","Ayam Guling Enakko, Tangkuban Perahu",Gofood Delivery,F-2998400763,5,,"Nasi Kebuli, Paket Berkah 2 Kebuli",
"Oct 8 2025, 16:01","Ayam Guling Enakko, Ahmad Yani",Gofood Delivery,F-2998391072,5,,"Cheese Sauce, Sambel Ijo, 1 Ekor Ayam Original, Nasi Kebuli",
"Oct 8 2025, 14:20","Ayam Guling Enakko, Ahmad Yani",Gofood Delivery,F-2998308681,5,,1 Ekor Ayam Western,"CANNED_RESPONSE_CUTLERY, CANNED_RESPONSE_VALUE, CANNED_RESPONSE_PACKAGING, CANNED_RESPONSE_HYGIENE, CANNED_RESPONSE_PORTION, CANNED_RESPONSE_FRESHNESS, CANNED_RESPONSE_TASTE"
"Oct 8 2025, 13:10","Ayam Guling Enakko, Pulau Kawe",Gofood Delivery,F-2998245003,5,,Paket Berkah 1 Putih,
"Oct 8 2025, 12:45","Ayam Guling Enakko, Dalung",Gofood Delivery,F-2998220089,2,,Paket Berkah 2 Kebuli,"CANNED_RESPONSE_TASTE, CANNED_RESPONSE_HYGIENE"
"Oct 8 2025, 12:13","Ayam Guling Enakko, Tangkuban Perahu",Gofood Delivery,F-2998182052,5,nikmat bgt pulen,Paket Mabar 4 Mandhi,"CANNED_RESPONSE_FRESHNESS, CANNED_RESPONSE_HYGIENE, CANNED_RESPONSE_VALUE, CANNED_RESPONSE_CUTLERY, CANNED_RESPONSE_PACKAGING, CANNED_RESPONSE_TASTE, CANNED_RESPONSE_PORTION"
"Oct 8 2025, 11:01","Ayam Guling Enakko, Pemogan",Gofood Delivery,F-2998085863,4,Kali ini saya kasih bintang 4 dulu karena nasinya masi lembek. Mungkin karena di jam ramai jadi dipaksakan walaupun belum terlalu matang. Lain kali tolong lebih diperhatikan lagi. Terimakasi.,Paket Mabar 1 Kebuli,
"Oct 8 2025, 10:31","Ayam Guling Enakko, Denpasar",Gofood Delivery,F-2998053006,5,,1 Ekor Ayam Western,
"Oct 8 2025, 10:30","Ayam Guling Enakko, Denpasar",Gofood Delivery,F-2998051251,5,,"Nasi Putih, Paket Mabar 1 Kebuli, Paket Berkah 2 Kebuli",
"Oct 8 2025, 09:05","Ayam Guling Enakko, Dalung",Gofood Delivery,F-2997987663,4,,1/2 Ekor Ayam Western,
"Oct 8 2025, 01:18","Ayam Guling Enakko, Pulau Kawe",Gofood Delivery,F-2997908830,2,kurang panas dan masih ada darahnya,1 Ekor Ayam Western,
"Oct 7 2025, 19:47","Ayam Guling Enakko, Pemogan",Gofood Delivery,F-2997753084,5,"Ternyata ENAK! Kemana aja selama ini, nyesel baru nyobain sekarang 😭",Paket Berkah 2 Kebuli,
"Oct 7 2025, 19:21","Ayam Guling Enakko, Dalung",Gofood Delivery,F-2997719379,1,,Paket Mabar 1 Kebuli,
"Oct 7 2025, 19:21","Ayam Guling Enakko, Ahmad Yani",Gofood Delivery,F-2997718794,5,,1 Ekor Ayam Original,
"Oct 7 2025, 18:11","Ayam Guling Enakko, Pemogan",Gofood Delivery,F-2997616263,1,melon squash nya gak ada tpi uang nya gk balikin. curang. udah gk ada pemberituan sebelum nya,"1 Ekor Ayam Original, Squash Melon",
"Oct 7 2025, 17:59","Ayam Guling Enakko, Mengwi",Gofood Delivery,F-2997600564,5,,"1 Ekor Ayam Original, Blackpaper Sauce",
"Oct 7 2025, 17:12","Ayam Guling Enakko, Pemogan",Gofood Delivery,F-2997541111,5,,Paket Berkah 2 Kebuli,"CANNED_RESPONSE_TASTE, CANNED_RESPONSE_PORTION, CANNED_RESPONSE_PACKAGING"
"Oct 7 2025, 17:06","Ayam Guling Enakko, Pemogan",Gofood Delivery,F-2997534721,5,,1 Ekor Ayam Western,
"Oct 7 2025, 13:16","Ayam Guling Enakko, Denpasar",Gofood Delivery,F-2997330165,5,,"Hot Cheese Sauce, Korean Samyang Sauce, Sambel Dower, Sambel Korek, Cheese Sauce, Blackpaper Sauce, Onion Mayo Sauce, Sambel Tomat, 1 Ekor Ayam Western, BBQ Sauce, Sambel Ijo",
"Oct 7 2025, 11:49","Ayam Guling Enakko, Dalung",Gofood Delivery,F-2997231303,5,,"Nasi Putih, 1 Ekor Ayam Western",
"Oct 7 2025, 11:48","Ayam Guling Enakko, Pemogan",Gofood Delivery,F-2997229604,5,,"Korean Samyang Sauce, 1 Ekor Ayam Western",
"Oct 7 2025, 10:26","Ayam Guling Enakko, Ahmad Yani",Gofood Delivery,F-2997126569,5,,1 Ekor Ayam Original,
"Oct 7 2025, 10:04","Ayam Guling Enakko, Ahmad Yani",Gofood Delivery,F-2997105269,4,,"1 Ekor Ayam Original, Nasi Kebuli",
"Oct 7 2025, 09:10","Ayam Guling Enakko, Pemogan",Gofood Delivery,F-2997068411,4,,Paket Berkah 2 Kebuli,
"Oct 7 2025, 09:06","Ayam Guling Enakko, Mengwi",Gofood Delivery,F-2997066129,5,,"Nasi Kebuli, 1 Ekor Ayam Western, Blackpaper Sauce",
"Oct 7 2025, 09:02","Ayam Guling Enakko Dalung Permai, Jalan Perum Dalung Permai",Gofood Delivery,F-2997063629,5,,Paket Mabar 1 Kebuli,
"Oct 6 2025, 19:06","Ayam Guling Enakko, Ahmad Yani",Gofood Delivery,F-2996777815,5,,"Reguler Burger, Paket Mabar 1 Mandhi",
"Oct 6 2025, 18:49","Ayam Guling Enakko, Denpasar",Gofood Delivery,F-2996752895,5,,1/2 Ekor Ayam Western,
